HJV5JBCXX_PR0478_01A0202	HJV5JBCXX_PR0478_02A0403	HJV5JBCXX_PR0478_03A1105	HJV5JBCXX_PR0478_04A1206
Cdhr1	0.00226114461743965	-0.0167301348425308	0.0274822301936082	-0.00226114461743876
Cdhr2	6.06540367353858e-06	-6.06540367376063e-06	0.000577830296150328	-5.05205301513101e-05
Gm36633	1.1779915524035e-05	-1.1779915523924e-05	0.00225504204233662	-3.50257925197939e-05
Tcof1	-0.0584084574138846	0.137613118716411	-0.174891744087033	0.0584084574138846
Gm3279	5.5184161564803e-06	-5.5184161564803e-06	-1.94487982168035e-05	0.000499204951098342
Prmt10	0.0303655999177259	0.0424512184242403	-0.0303655999177259	-0.125237137963504
AI662270	-0.038142638568285	-0.00517263685401659	0.144260270379522	0.00517263685401659
Olfr520	1.07666461196532e-06	-1.07666461196532e-06	0.00348002636010364	-8.34097281088297e-06
Olfr525	5.85034157851716e-06	0.00852942827503878	-5.85034157862818e-06	-1.72808601797136e-05
Olfr524	3.57479182566678e-06	-3.57479182588882e-06	0.0115467712794579	-2.7694607964035e-05
Gm10640	-0.013387210539622	0.00100170981584036	-0.00100170981584036	0.0403558392129506
Zik1	-0.0340535311407404	0.0340535311407404	-0.0371792680593384	0.0742689092344326
Usp8	-0.00443240989180538	-0.0482403111345437	0.0940667276685634	0.00443240989180538
Usp1	-0.0110645614579568	0.0110645614579568	-0.0936008834144317	0.0819192481635618
Usp2	-0.0335770593494589	0.00797600050085734	0.0430815797076693	-0.00797600050085734
Usp3	0.063823142854627	0.182649025270821	-0.0638231428546288	-0.0912791815413865
Usp4	-0.00170204493837112	0.134809119914188	-0.0949847014454583	0.00170204493837112
Usp5	0.0329198749142243	-0.0329198749142243	0.0526920993509954	-0.0416964253977312
Usp7	0.0370770087223491	0.0949775091935852	-0.0370770087223491	-0.078264650631036
Rpl38	-0.0017943004973624	0.0017943004973624	-0.0820993554184319	0.202025423579521
Rpl39	-0.0472945557695468	0.0472945557695486	-0.0756191562414354	0.200184803356349
Rpl36	-0.0055911902354655	0.0055911902354655	-0.0534740262682956	0.228106722319838
Rpl37	-0.0333770459786962	0.0333770459786944	-0.0548294729352143	0.192876041762471
Rpl34	-0.00955359459216076	-0.0323176150450717	0.00955359459216076	0.0106622365626396
Rpl35	-0.0732237863981702	0.073223786398172	-0.096235761509929	0.141923833261774
Rpl32	-0.0447814158483233	0.0447814158483251	-0.057928927762525	0.193785877965812
Rpl30	-0.00256119164927782	0.00256119164927782	-0.00329608923410429	0.00410997788283574
Rpl31	-0.00417876536821282	0.000651900755759272	-0.000651900755757495	0.0909251952346111
Cd302	0.0598127216341515	-0.0061874142657139	0.00463401080751158	-0.00463401080751158
Fam13b	0.105815549486154	0.132370629394975	-0.105815549486152	-0.138969740809125
Fam13a	1.07456150675311e-05	-1.07456150673091e-05	-3.7871246610921e-05	0.00193475673896915
Bcas2	-0.000591046890619396	-0.0409997049146789	0.000591046890621172	0.0659975942841964
Bcas3	0.0316244897318914	-0.133111671522999	-0.0308299097487694	0.0308299097487676
Bcas1	0.00869078409469726	-0.00521719621711769	0.00521719621711769	-0.00526819909288134
Gm8369	-0.0572749680387119	-0.148376990206216	0.154241675255536	0.0572749680387119
Hist3h2ba	0.0110481295289246	-0.0091777048107371	0.00446934039748514	-0.00446934039748514
Mlycd	0.0167005408049903	0.0520945603060508	-0.0167005408049921	-0.0777506127689485
Hist4h4	0.00555329527594051	-0.00978164312933139	-0.00555329527594051	0.0130874102643741
Ttbk2	-0.0207979360821913	-0.0145113853731962	0.0357736082173883	0.0145113853731962
Gm10046	1.61901918810381e-06	-1.61901918807605e-06	-5.54455965648404e-06	0.0052514269428105
Ttbk1	1.13047782203113e-05	0.00241408846685021	-1.13047782204223e-05	-1.45478143255273e-05
Ncor2	-0.0682114631591784	0.0699628771161898	-0.0603494634634067	0.0603494634634067
Ncor1	0.0200607066727692	-0.0200607066727692	0.0269982346562294	-0.0747818999159691
1810010D01Rik	-0.0141689272276331	0.00858629958985802	-0.00519495158421979	0.00519495158421979
Pebp1	-0.0675827021314692	0.0289313457360194	-0.0289313457360194	0.0341294330121915
Magohb	-0.000147308123169765	-0.0319425023815896	0.0312466153375599	0.000147308123171541
Nkiras1	0.100598408849679	-0.0927024168575734	0.0211830029169064	-0.0211830029169064
Ppme1	0.0547720236260698	0.0372469558846991	-0.0758150774097928	-0.0372469558846991
Gm19276	4.63941540185253e-06	-4.63941540185253e-06	0.0149812575454664	-3.59427412623958e-05
Gm19277	0.00254225102324279	9.56420016740012e-07	-9.56420016740012e-07	-4.36644683854404e-06
Cep162	-0.127013695608017	0.0402904404649611	0.0896778371630766	-0.0402904404649593
Lrriq1	-0.00111392579007275	0.00111392579007319	0.00651919488233466	-0.00625791840538747
Lrriq3	-0.000481672937121314	0.0196809129734139	-0.0022265859696442	0.000481672937120869
Vmn2r84	0.0681093785276019	-0.0121955150942954	0.0121955150942954	-0.0441499603163917
Vmn2r85	-0.000418486671728502	-0.00168886286426845	0.000629904751068722	0.000418486671728446
Vmn2r86	1.44179033105818e-05	0.000631312722769506	-1.44179033105818e-05	-4.50421425832737e-05
Vmn2r87	0.00259909680739234	-0.00500225246890307	0.000794788925341905	-0.000794788925341905
Vmn2r81	3.87185409622681e-06	-3.87185409600477e-06	-1.3259805289989e-05	0.0125506658208963
Vmn2r82	0.00344162138838255	-0.00290406448772207	0.00290406448772185	-0.00292949787998986
Vmn2r83	6.06540367353858e-06	-6.06540367376063e-06	0.000577830296150328	-5.05205301513101e-05
Tinf2	0.0349113604660296	-0.0349113604660314	0.069223593699391	-0.128438293678149
Vmn2r89	6.06540367353858e-06	-6.06540367376063e-06	0.000577830296150328	-5.05205301513101e-05
Egf	-0.0131231221290946	-0.0462476169677952	0.0131231221290946	0.0322803506419085
