HJV5JBCXX_PR0478_01A0202	HJV5JBCXX_PR0478_02A0403	HJV5JBCXX_PR0478_03A1105	HJV5JBCXX_PR0478_04A1206
Ikzf3	13.5711869354932	13.7422468157651	13.6282834183331	13.67869824547
Ikzf2	6.79885328927485	6.62369229300248	6.72161949111279	6.69257502890644
H2afv	10.9007818376421	10.9059517420131	10.8839279825355	10.9571595291639
Mbtd1	10.3461392206387	10.2559285713472	10.2209222485871	10.2250453332436
H2afx	9.48366713400652	9.55941367975753	9.56816139641098	9.64004005614537
H2afy	13.3331078513505	13.1901095764214	13.4213773838408	13.3689608578859
H2afz	12.4587694980082	12.4726914395369	12.5474269611336	12.5454133641645
H2afj	11.2068439435877	11.1741975282227	11.2417718460312	11.293069260099
Fgf18	-0.369060266647332	-0.365397187572165	-0.369065293112369	-0.36907020345452
Fgf13	12.5540686251574	12.5408427584747	12.5488875924625	12.4206714680435
Fgf10	-0.0243659013462872	-0.0243687708419925	-0.0197303490279974	-0.0243784511855182
Fgf16	-1.72608161580563	-1.72609374661297	-1.72550985091315	-1.72613820173945
Dpcr1	-0.390284847916252	-0.38784379956565	-0.389124549235831	-0.390294621730451
Snrpd1	9.8227163244947	9.77784510656651	9.87300191255046	9.91453943827056
Prss41	3.05461170783445	3.03195481527745	3.0481447846684	3.0318733233226
Phc1	8.4633020594992	8.41234072111213	8.37983812487583	8.46718539865384
Phc3	11.0691639670689	11.0213555997417	11.1239183360017	10.9475841720054
Phc2	11.7278195370368	12.0071462361211	11.7820478092976	11.8626546434294
Sh2d4b	3.26747267310091	3.25962391157895	3.27075451422822	3.25645618398017
Golt1b	10.5856093068511	10.5651498776164	10.5173541094454	10.5008145962408
Chmp3	11.0977487265085	11.1990393441679	11.0836559414186	10.9902324114529
Chmp7	11.4311320677425	11.4736156557292	11.5279100086719	11.6134714662586
Chmp6	10.6921545841844	10.709244754037	10.7403230258799	10.686276757776
Chmp5	11.1017917560482	11.0028165039758	10.9716280348044	11.0221562173569
Mir6940	-1.7254436450604	-1.726111713526	-1.72612844553546	-1.72616029399044
Mir6942	2.88783764231081	2.88380467946952	2.88465094749339	2.88925666651951
Gcnt2	6.89975159443283	6.87293541715091	6.95480387698056	6.90866258885909
Mir6948	-0.438290317228706	-0.43829247055793	-0.434811367533215	-0.438299734866129
Mark4	7.80649045332298	7.89119077120349	7.97033750476982	7.90081883018439
Mark2	12.5852024314766	12.6131651570242	12.4858182740482	12.4845542525607
Mark3	11.726485167671	11.7688695671021	11.7089106246687	11.7319696055533
Nmd3	10.7413590066549	11.022495044359	10.7246597131676	10.9099131637319
Rps15a-ps6	7.18571876768176	7.18449443180718	7.2204562732447	7.20495893406228
Extl1	2.66040807802575	2.65911903748628	2.68772134604752	2.65905654459579
Extl2	8.99214354144627	9.01547059974584	8.88422485223872	9.01380156591656
Extl3	10.908143823772	11.0079382716269	10.8152423757516	11.0356237022904
Gm7609	4.481956713281	4.49351748237428	4.52147944142009	4.49032557087602
Tia1	10.6334685398927	10.7437036833658	10.6828821491667	10.7913729925083
Tmem160	10.3381526600036	10.2681089753286	10.4186595600087	10.4973243964847
Tmem163	8.56333922711985	8.46600136343295	8.71156593660223	8.58760752325895
Tmem165	11.0666010080625	11.0481762142716	11.0532786192985	11.0293483665141
Tmem164	11.1907264327382	11.0302224500608	11.0802161636172	10.9568709468688
Tmem167	11.6691445722326	11.6557682931513	11.5955699070778	11.59577331977
Tmem169	-1.72608161580563	-1.72609374661297	-1.72550985091315	-1.72613820173945
Tmem168	11.3520114005681	11.2328578867726	11.2809041568896	11.3220232508766
Tbc1d8	5.81419101356623	5.81498559505044	5.84056283164321	5.76759518953683
Tbc1d9	2.05505544526701	2.05626540954853	2.07345544039666	2.05500224520158
Tbc1d1	12.0430456223903	12.116186770684	11.936849334411	11.9828826368688
Tbc1d2	7.18539844472677	7.09953004909434	7.24197669150856	7.06394250407223
Tbc1d4	9.84453578911772	9.85985891737013	9.83576297710167	9.70776012983475
Tbc1d5	10.3844261605121	10.4918514878506	10.2712986149549	10.3427634338463
Tbc1d7	7.95847963922266	7.78179532862971	7.98793483347317	8.02211651987204
Spata45	1.21999830771372	1.21872674591562	1.22103783693958	1.22608363643244
4933405E24Rik	0.971210278648723	0.971204552551539	0.980456993266325	0.971185235124264
Akirin2	9.93476394820001	10.0428629067099	9.97266742814339	9.96699287990884
Akirin1	11.9222532928082	12.0221289539007	11.8548701028187	11.9336866497108
Ap3m1	11.1423817502233	11.130005280101	11.2083069644095	11.0301828614881
Limd2	14.5096797819669	14.5354823273979	14.4756943036988	14.6104004802914
Limd1	13.0222947157506	13.0909736545177	12.8690586335907	13.0178336683255
Nop58	11.16118675416	11.0449904806513	11.0306076391687	11.105603738629
Acsf2	7.50899127377444	7.70058521660854	7.56936250293484	7.58743524011513
Nop56	12.8381066355566	12.7024052566036	12.811525304455	12.7589101291115
Gga2	8.08212370909392	8.13765046711367	8.1533948010589	8.31429480310042
Sarnp	11.446433669779	11.5454089897995	11.4207759632586	11.5185819391231
Kcnip4	3.49673123315966	3.50954640734852	3.49813662619492	3.49494371843234
Kcnip3	5.49528954151608	5.53637745260148	5.52731536874374	5.6453803382383
Kcnip2	4.33199091428119	4.3042856697401	4.35736122381096	4.31243442414326
Kcnip1	-1.7254436450604	-1.726111713526	-1.72612844553546	-1.72616029399044
4930447A16Rik	1.17453312566968	1.17198900504105	1.18009999142687	1.17196674310297
Tpcn1	7.82976821039961	7.93971056491211	7.83372595078874	7.89374489433887
Tpcn2	8.53974833182842	8.43030566999995	8.46758630666502	8.64694478514114
Tcirg1	10.5316293297602	10.4400534245526	10.5591605944893	10.4656386687445
Ltbp4	4.75628787601433	4.73940674158885	4.77772436540667	4.73677877155913
Ltbp3	3.74060384866022	3.74056482635017	3.74051751507724	3.80354853170022
Olfr911-ps1	2.72019259393644	2.71132650769524	2.72287862470426	2.72182752573229
