"stat.mean"	"HJV5JBCXX_PR0478_01A0202"	"HJV5JBCXX_PR0478_02A0403"	"HJV5JBCXX_PR0478_03A1105"	"HJV5JBCXX_PR0478_04A1206"
"Neurodegenerative_diseases"	0.769985615203236	-0.079741581105336	-0.972977769095998	0.0145599802687478	4.11810183074553
"Energy_metabolism"	0.567715085404337	-2.10233510514029	-1.51822964800006	0.097790616330874	5.79363447842682
"Infectious_diseases"	0.378120844563159	0.0961387737713091	-1.11823047478862	-0.322164150905169	2.85673923017511
"Lipid_metabolism"	0.376739664221741	1.30712046455459	-0.0877291462477761	0.858341053171277	-0.570773714591129
"Nervous_system"	0.373173270462534	0.738899957164021	0.399935255447279	-1.08906072712435	1.44291859636318
"Digestive_system"	0.366394318067517	0.430975704542757	-0.632495592109846	0.0791229680540602	1.5879741917831
"Circulatory_system"	0.26936892710188	0.261942121548203	-0.0606633021391859	-0.557413094247743	1.43360998324625
"Cell_motility"	0.211893383732358	1.67536816223603	-1.02300207683116	-0.794899621035898	0.990107070560465
"Development"	0.149829359149965	0.401231844872581	-0.653857948452808	-0.180666452004307	1.03260999218439
"Drug_resistance"	0.137417218718421	-0.228178725451817	0.598040487634132	0.376341017414239	-0.196533904722869
"Immune_system"	0.131741118438351	0.226983178369383	-1.3529483814552	-0.897972512689763	2.55090218952898
"Endocrine_and_metabolic_diseases"	0.128202397134029	-1.35579973977355	-0.673443141453483	-0.0184569180690449	2.5605093878322
"Nucleotide_metabolism"	0.121085117157444	-0.493880321302164	-0.447449937459008	0.45388401878691	0.971786708604037
"Excretory_system"	0.104522714587887	1.3284362006015	0.0303449071957375	-1.05960370397417	0.118913454528484
"Signaling_molecules_and_interaction"	0.0958488495364495	0.626286611021669	-2.15147756434853	0.971210864480705	0.937375486991957
"Xenobiotics_biodegradation_and_metabolism"	0.0935815682619303	-0.500362907768773	-0.882689959132746	0.793828264962554	0.963550874986686
"Transport_and_catabolism"	0.0808494713277458	0.887493861220483	0.415120527036116	-1.61119786147231	0.631981358526695
"Metabolism_of_cofactors_and_vitamins"	0.0783853357089159	-0.552161110440257	-0.361623084159511	0.76763748214893	0.459688055286502
"Biosynthesis_of_other_secondary_metabolites"	0.0769059209614123	-0.668052930277079	-0.14963786503332	0.4242286189722	0.701085860183848
"Signal_transduction"	0.0730094096315106	1.56764369556618	1.61884932663315	-1.55330502173452	-1.34115036193877
"Folding,_sorting_and_degradation"	0.0629650658564083	0.370116998052879	2.20192282971038	-2.48472608108139	0.164546516743768
"Metabolism_of_terpenoids_and_polyketides"	0.0559830935183294	0.197939459093556	0.669897865673482	0.534825241499995	-1.17873019219372
"Transcription"	0.0362691772326478	-0.0904096564909297	1.75157185575634	-1.3441828495733	-0.171902640761518
"Endocrine_system"	0.0274633099833615	0.475974141247799	1.14861058980717	-1.29518895788864	-0.21954253323289
"Carbohydrate_metabolism"	-0.329129534272987	0.331206706524197	0.472419216085726	-1.24769338483673	-0.872450674865141
"Replication_and_repair"	-0.215586533251983	-1.81651027844082	-0.656934288477369	2.68482478359713	-1.07372634968687
"Cancers"	-0.200443348107554	-0.600849388706423	0.36322365254272	-0.396117654059123	-0.168030002207389
"Environmental_adaptation"	-0.168061505384237	0.977573824039986	-0.0291701227022821	0.633500582001156	-2.25415030487581
"Sensory_system"	-0.0975865280202507	-0.104616441322012	0.232398770068969	-0.514280380136519	-0.00384806069144094
"Metabolism_of_other_amino_acids"	-0.0902206242305374	-1.52178323076376	-0.721053691558296	0.953969427156336	0.927984998243568
"Membrane_transport"	-0.0859305039933444	0.346034086787254	-0.48757355172465	-0.181873422965908	-0.0203091280700739
"Substance_dependence"	-0.0689991099182345	0.0553751444896063	1.12029729671474	-0.367114370282277	-1.08455451059501
"Glycan_biosynthesis_and_metabolism"	-0.0600793488979656	1.16465037408648	-0.924315126954795	-0.404140223198152	-0.0765124195253988
"Cardiovascular_diseases"	-0.0474265299655498	0.0809263022860965	-0.649670612016248	0.823114019130807	-0.444075829262855
"Cell_growth_and_death"	-0.0420032142568726	-0.0410102644316283	-0.887523886997339	-0.217417227962406	0.977938522363883
"Amino_acid_metabolism"	-0.0412964480277291	-1.38819385686377	0.487404062722906	0.648305171655602	0.0872988303743486
"Translation"	-0.0427566512529911	-4.25376778750007	4.74755848790086	-6.66240244441993	5.99758513900717
"Aging"	-0.0287001797725853	0.958333776321469	1.90190686449843	-1.20764357512648	-1.76739778478376
"Cellular_community_-_eukaryotes"	-0.0244463537379277	1.35132087775248	1.48597079355199	-1.73498881055038	-1.20008827570581
"Immune_diseases"	-0.0125673764109743	-0.0764897721079645	-1.56937245418252	0.281877494500875	1.31371522614571
