"stat.mean"	"HJV5JBCXX_PR0478_01A0202"	"HJV5JBCXX_PR0478_02A0403"	"HJV5JBCXX_PR0478_03A1105"	"HJV5JBCXX_PR0478_04A1206"
"map05012"	0.894384497738463	-1.01116055692048	-1.98862276992034	0.219191246310025	6.35813007148464
"map05016"	0.828417181344722	-0.455727713403408	-1.94015537439352	0.0407888854186553	5.66876292775716
"map00190"	0.788360998099105	-1.40595650477542	-2.35376100868159	-0.243739793240634	7.15690129909407
"map05010"	0.63496115794628	-0.717990011635709	-2.42511085250083	0.533191785378164	5.14975371054349
"map05222"	0.501351124455708	-0.0787280429832903	-0.178638888082524	0.969333913482985	1.29343751540566
"map04978"	0.495388274396381	0.707443894107703	0.435764245676345	0.197125167786702	0.641219790014773
"map00860"	0.480292250721355	-0.297300346392767	0.629568970481141	1.16573405967832	0.423166319118727
"map00565"	0.416790926396463	0.502353151605264	0.520358727883182	-0.469265261980376	1.11371708807778
"map04657"	0.366191994474556	1.48984888586028	1.01630549862066	-1.49855424304754	0.45716783646482
"map04932"	0.376196186479709	-0.994264993867671	-0.319361597349178	-0.94472630962387	3.76313764675955
"map05133"	0.352207696943387	0.272413261928367	-0.290544115052502	0.0533245139178878	1.37363712697979
"map05014"	0.340870699587468	0.351563626583797	-0.0619847401106771	0.365831816320946	0.708072095555807
"map04260"	0.34616502185979	-0.666222712029127	-1.17193246178786	0.441063793402281	2.78175146785387
"map00590"	0.335087458620926	-0.00260089482045527	0.206510734471043	0.10841469794475	1.02802529688836
"map00564"	0.334326305946272	1.77249373429588	-0.110158076315495	0.600543688356383	-0.925574122551674
"map04510"	0.323827833546751	1.92294954544639	0.447535570245576	-1.29933820889268	0.224164427387715
"map05132"	0.311298242086769	-0.234267778557841	0.367883324002943	-0.159587121340869	1.27116454424284
"map04512"	0.308382892055107	1.23719513740375	-1.09413592365662	1.31445288592809	-0.223980531454782
"map03020"	0.306909663981495	0.42616601403936	-0.0189172613367054	-0.400806243078446	1.22119614630177
"map04610"	0.304845794573589	0.0234832730311455	-1.66009343259477	1.41497956734656	1.44101377051141
"map04975"	0.30011425651448	0.704423499299051	0.686320589494457	-0.0231081961591774	-0.167178866576412
"map05144"	0.290814477904583	0.569846909680533	-1.60127867885768	1.6391819798298	0.555507700965676
"map04723"	0.290784984791552	-0.522603301913603	-0.466017845895964	-0.597003716153025	2.7487648031288
"map05120"	0.281166905732422	0.99020843605994	0.603526434467549	-1.53468726230691	1.06562001470911
"map05145"	0.282969800772721	-1.16025660434674	-0.723819397794285	0.780781212864577	2.23517399236734
"map05161"	0.279533294006274	0.300936248254521	-0.310023354102898	0.355501641556303	0.77171864031717
"map05140"	0.265558259025011	-0.177418410663892	-0.341900860739299	-0.0894926401536318	1.67104494765687
"map04976"	0.262347418377251	0.209539622427461	-0.0222791403024766	0.0973459391490656	0.764783252234954
"map04360"	0.249233398104951	1.58308377065985	0.10601294965807	-0.560693230359614	-0.131469897538497
"map04964"	0.241587473877452	0.451200551640386	-0.447064190392103	0.23760811134218	0.724605422919346
"map00514"	0.242415588348669	1.1447982255629	-0.593086128390257	0.801749545042626	-0.383799288820591
"map03320"	0.235529118088058	-0.124477094904539	-0.170078196668822	1.16809583921461	0.0685759247109816
"map05210"	0.234980587203417	0.49643363692527	1.65642234540938	-1.26388850135506	0.0509548678340807
"map04137"	0.232220767131381	0.128708746445591	1.54893361144422	-0.0177399323184269	-0.731019357045862
"map00531"	0.234308396531458	-0.246573289046734	-1.45714170459998	0.676505993060626	1.96444258671191
"map05131"	0.223043393797434	1.31730404532811	-0.604355282441404	-0.783250670684634	0.962475482987666
"map00920"	0.221490952475572	-0.0563693909127513	0.514585560598722	-0.103679848585582	0.531427488801901
"map01524"	0.213307482610452	-0.470230986805602	-1.29995174885382	1.60043191275351	1.02298075334772
"map04810"	0.211893383732358	1.67536816223603	-1.02300207683116	-0.794899621035898	0.990107070560465
"map00511"	0.207976675759966	0.00272157902513093	-0.941631290114786	0.701595868479169	1.06922054565035
"map00561"	0.199440929940226	1.7482300035926	-1.10324660753184	1.02342416703534	-0.870643843335194
"map04966"	0.201517141359209	0.536841867604238	-0.0822086217931678	-1.02033627365427	1.37177159328004
"map04370"	0.191370060222827	1.03215704122937	1.1517268229658	-2.07467759042302	0.656273967119166
"map05310"	0.195204505364701	0.0403294600446857	0.247529704431425	-0.203887258763675	0.69684611574637
"map04115"	0.191388646477121	0.235071657224601	-0.361160371199866	0.616580957890821	0.275062341992928
"map04979"	0.188132044598663	0.588163358343474	0.411417605493889	0.238334651227573	-0.485387436670282
"map04658"	0.184236656853909	-0.329146034149173	1.2876186201643	-1.00741150966034	0.785885551060847
"map05100"	0.178539810174726	0.354650923119868	-0.675043291096406	-0.196992924598498	1.23154453327394
"map00061"	0.177910305906799	-0.204150048661349	-0.513441882458873	0.263064223589477	1.16616893115794
"map05215"	0.169138970750239	0.955417918649531	0.848059394952758	-0.538293555276318	-0.588627875325016
"map04215"	0.168890865157752	0.277638150392501	-1.43678288306065	1.39267579532316	0.442032397976002
"map00120"	0.169720881227185	0.23994489113252	0.140257077023531	0.219503973688818	0.0791775830638696
"map04151"	0.16527898819265	0.363885138085279	1.09800523698885	-1.42729967428268	0.626525251979149
"map00910"	0.174843482008523	-0.357726522590603	-0.089871271916847	-0.0261016783366782	1.17307340087822
"map00592"	0.166473643079467	-0.256171090105066	0.662173399904573	-0.186822839160213	0.446715101678573
"map00534"	0.166824501212179	1.18878207875655	0.177273704592774	-0.736514739252132	0.0377569607515234
"map00900"	0.159279764820619	0.447875488071834	0.673811704775288	0.311446983482368	-0.796015117047015
"map00830"	0.157613193790301	0.503394824850373	-0.432090208575067	0.882093952482045	-0.322945793596149
"map04972"	0.155478848015013	0.748942079255833	-1.15118535644232	0.1245391666913	0.899619502555242
"map00230"	0.153640135057128	-0.108978795004186	-0.0322652127045994	0.147575647656418	0.608228900280879
"map04614"	0.155961127573261	0.73598896111629	-0.743684205571882	-0.0401568089075498	0.671696563656187
"map03008"	0.153623265959847	-0.194720214882399	0.891302139327246	-1.66363980037333	1.58155093976787
"map04662"	0.144187204527876	1.76831292996547	1.59567363531667	-2.56214256699305	-0.225095180177585
"map05213"	0.145807037440122	0.293091929988195	1.57262157143201	-1.21247707483533	-0.0700082768243897
"map04973"	0.140819892103782	0.662845715009137	0.585160175048253	-0.6357609426733	-0.0489653789689608
"map04722"	0.131517606607209	0.831124474043201	0.619737688906169	-1.12667486427924	0.201883127758704
