baseMean	log2FoldChange	lfcSE	pvalue	padj
Sacs	134.754009704199	-3.59897096860268e-05	0.0734476064820642	0.993288359900516	0.999958094925527
Zfp712	553.196957560597	0.00869888463124541	0.0726486897233632	0.611283321111153	0.999958094925527
Zfp710	260.359224573253	-0.0195722518980061	0.0767725364617038	0.121742607342269	0.892586121429898
Zfp711	4.03658461879968	0.000329176063433568	0.0740171625338477	0.850962836227465	NA
Zfp715	1832.08596361956	-0.0071142465149967	0.0688602996870108	0.78365390340282	0.999958094925527
Mllt4	187.210016070562	-0.0083444184578576	0.0739796927159382	0.419588866896325	0.999958094925527
Mllt6	873.21440518413	-0.0311973708051669	0.0799270749979212	0.153616418207687	0.933034036552893
Zfp719	978.368857807746	-0.0209567245345457	0.0750078317623048	0.309075703427606	0.999958094925527
Mllt1	2099.26952763873	-0.013009127415388	0.0693652367376673	0.629841687487944	0.999958094925527
Mllt3	2011.46693514314	0.0046730118724034	0.0675741700878297	0.868476637580326	0.999958094925527
Btg4	2.7101621395379	0.000441909688848113	0.074024551043704	0.526774365232201	NA
Btg3	11.6156468958654	0.000200343975673075	0.0739681780782235	0.949781827144995	0.999958094925527
Btg2	6436.27576540431	-0.050295934983796	0.0737212143681727	0.206638111370046	0.976460727410061
Btg1	29669.6236571106	-0.177090318746196	0.0749521775563872	0.00192339679141963	0.123542050898335
Nupl1	1039.82842192765	-0.0477718179900405	0.0915742986379268	0.0688734303970759	0.746670483624198
Nupl2	405.34418086546	-0.00258753425448334	0.0725223162415453	0.858701503937478	0.999958094925527
Npat	1587.18099324638	-0.0433357576336913	0.0843591583312279	0.14233418639196	0.916944457515982
Ttc30a1	72.0938680950651	0.00259010020855628	0.0737790373779307	0.705999473470354	0.999958094925527
Gga1	1768.30904131066	0.0285839792471301	0.0745976658758456	0.315854101469062	0.999958094925527
Gga3	2236.7614472905	0.0189557841120638	0.070385899041337	0.503823931007366	0.999958094925527
1700018C11Rik	0.223540666469858	0.000308420265737918	0.0740225407684862	0.822931636861443	NA
Sorbs1	1522.52217850306	-0.0243112205118616	0.0736111748945333	0.361373925981486	0.999958094925527
Sorbs3	65.8480868653177	0.00113370667873128	0.0737722864831699	0.858486192668889	0.999958094925527
Sorbs2	3.78015436029055	-0.000515636404413215	0.0740256032655368	0.411638541917039	NA
Tshz2	0.270011025735039	-0.000352142823193336	0.0740233640879504	0.769144619971636	NA
Tshz3	14.5860129829578	-0.0015375870846457	0.0740164464876919	0.408119683209042	0.999958094925527
Tshz1	1770.93539023808	-0.000892911217241922	0.0688695938566553	0.969853991704227	0.999958094925527
Arhgef28	0.259296772902657	-0.000380429865776114	0.074023278816576	0.768171993426705	NA
Arhgef25	1.564784665289	0.000374783626629188	0.0740239650286984	0.578577625992972	NA
Arhgef26	5.96793437628974	0.000496393525704157	0.0739991067359619	0.809127400585184	NA
Efnb1	39.7416105112436	-0.00372511243756305	0.0739986155819971	0.452017277087092	0.999958094925527
