TF	Number_of_ChIPexp	t_score_mean	baseMean	log2FoldChange	lfcSE	pvalue	padj
MYF5	1	0.488692338467	-0.797340849512	-0.125349227522	-0.24837410049	2.24044250129	1.37408336857
MCRS1	2	0.00249168406224	6.14690108965	-1.52950695102	-0.34472681447	-7.09256129832	2.83235239447
ERG	7	-0.205068668243	12.3958842331	-3.61105316048	-1.5868970934	-9.9472144779	1.7239371575
FIZ1	1	-0.405547715907	2.79519116763	-0.643553972082	-0.189551922357	-4.04041401577	0.0505901630447
HAND1	1	-0.175146081575	0.631983515575	-0.413123243806	-0.696293550197	-0.302705776747	-0.0955913527006
HAND2	3	-0.560812928145	0.424825034021	0.0324703348889	0.021151683471	-1.17619168211	-2.10632001099
MITF	1	-0.0318534566826	3.47246106164	-0.0404844285388	0.664714086039	-3.02190019102	-1.23405781153
MYOG	8	-0.486926289363	6.56410183137	-2.26468680413	-0.695597677055	-6.94917364588	0.910724848879
GFI1B	1	-0.894082243278	3.35558669721	-1.22392785107	0.184948051523	-4.23709502389	-2.54992309017
MYOD1	20	-0.576687221075	5.72935487348	-1.7297230033	-0.538859350995	-5.72995850582	-0.614250118735
UBF1	3	-0.911136225217	8.71523245279	-2.6891458672	-0.222505811387	-8.83210771556	-1.52715418473
SPI1	113	-0.606135524907	12.2817346093	-0.0293228213031	1.01439616838	-13.2035661145	-3.09391946636
DMRTB	1	-0.397088087456	4.86695079595	-1.6746793953	-0.63282954574	-4.95429164862	0.409409356443
KLF5	4	-0.72057352797	6.87976826526	-2.17818608775	-1.2893831394	-7.7266809337	0.711614255738
KLF4	16	-0.742851410761	8.50238035456	-1.48563302147	-0.712678948341	-8.95746920243	-1.06085623612
KLF3	3	-0.0893661189917	6.69108014532	-0.781512562392	0.062389242047	-5.73078197087	-0.688005449059
KLF2	1	-0.528552163972	2.6079318899	-0.805021184975	-0.594811966074	-2.4733587684	-1.37750079031
KLF1	3	0.196143080746	10.3105854417	-2.2703487405	-0.96403313392	-7.76039880169	1.66491063817
CNOT3	1	-0.0976430476275	-0.962639400848	-0.853893100825	-0.654042576918	0.466601977852	1.5157578626
RYBP	4	-0.63464817432	3.84055831337	-0.781764799136	0.150107971653	-5.75231189241	-0.629830465073
P53	10	-0.484834437981	5.2255750538	-1.21212458407	-0.320358747406	-5.41366440506	-0.703599507166
BMI1	3	-1.15787026551	-0.971913807818	-0.671673665414	-0.691105334058	-0.991804277388	-2.46285424285
REST	12	-0.21824323076	3.10557952777	-0.969237815914	-0.700785483019	-3.29643814867	0.769665766023
E4F1	2	0.645743003091	0.224786942105	-0.281015355169	-0.647366569515	1.34945758872	2.58285240932
E2F4	16	-0.698963085307	7.91319564209	1.54508949864	0.764821410797	-11.2959965731	-2.42192540498
E2F3	2	-0.7600839099	6.7508014729	-2.34456450751	-0.565515817178	-7.25545350694	-0.385687190768
E2F2	3	-1.10334335041	2.28482237443	0.559598897093	0.467412728836	-6.05031970535	-2.77823104704
E2F1	5	-0.328340446286	10.9580634015	1.30753276433	0.721997505434	-11.0863766435	-3.54291925913
MBD4	4	-0.394360695639	-0.549785334261	0.352693048897	0.235203204269	-1.77364231756	-0.236272079538
MBD1	9	-0.71617964122	1.5061044653	-0.103905914694	0.162570073524	-4.26884596157	-0.876820868653
MBD3	15	-0.659077756738	5.14023878715	-0.876249922192	-0.185081932364	-6.20114035587	-1.17315536042
MBD2	6	-0.26744920073	0.321674016821	0.804427817531	0.883630004883	-1.73904417798	-1.6079336649
AICDA	3	-0.181366697592	8.5356584892	-0.570733868325	0.232206177586	-8.68184956561	-0.422114720809
STAT4	3	-0.676306237689	11.7487711234	0.4650552139	0.585976761898	-11.5328651396	-4.64846914804
RARA	8	-0.444143914013	8.70714718451	-2.65888693046	-1.08125161061	-8.76390401676	1.57617580327
RARB	4	-0.506098899413	7.75085352337	-2.29148979068	-1.32154808403	-8.0929637234	1.42465357767
RARG	6	-0.140514308925	2.70184073129	-2.36090728608	-1.22856601618	-1.3218434966	1.50690452294
HDAC6	2	0.0206719319331	1.63754311234	-0.576940473249	-0.193486922101	-0.657626274916	-0.106129782408
SIX1	3	-0.680225734795	3.6943093057	0.0676509492408	0.674220488064	-5.51453316436	-2.32277625262
SIX2	2	-0.159051725975	1.55409895595	-0.0223821489633	0.0480163513797	-1.52777294414	-0.847218844096
THB	5	-0.332233689423	5.4800697899	-0.905780386969	-0.179238742239	-6.60240689257	0.546187784758
BMAL1	15	-0.485162424165	3.3627045061	-2.7758983774	-2.12477543336	-2.70971597517	1.821873159
NKX32	2	-0.781015816651	3.53953972543	-2.0408771716	-1.33913730948	-4.39810623358	0.333501905966
NKX31	4	-0.405467126872	4.28415032104	-1.96384601407	-0.754487601454	-3.53893693456	-0.054215405312
HXC9	3	0.116923877312	1.94287189064	0.129874704324	0.595916395244	-2.23448009378	0.150436490133
RB	1	-0.515503724523	0.0586689806454	-0.45029147971	-0.247039037366	-1.27331969969	-0.665537386499
FEZF2	2	-0.515307857737	6.17172019528	-2.18330316423	-1.03189880706	-7.28723646245	1.75417894977
RELB	5	-0.920787031134	5.91562696821	0.475384635399	-0.125772849824	-5.88756210636	-4.98161180309
USF2	3	0.0358619163223	6.62952396757	-0.938686698745	0.0915707729511	-6.13674530417	0.533646844007
WT1	4	-1.16422809755	6.34692258786	-2.88670609535	-0.981973494339	-7.07472873193	-1.224654754
RBPJL	2	-0.0280318378143	2.92841007473	-1.26890306814	-0.673097988775	-3.09287079554	1.96630258865
DPY30	1	-0.329437683862	4.32446248527	-1.64370546192	-0.544564448911	-6.09764037739	2.31425938364
LDB1	4	-0.307608303497	7.07085109677	-0.54935216544	0.466522217711	-7.01122299543	-1.5148396711
SUV91	1	0.000972901639225	0.0658284870558	1.95933144959	1.64990793851	-1.55787757546	-2.1123257915
SUV92	1	-0.301423302579	-0.23649539885	-0.36477182726	-0.31841968811	-0.479492442946	-0.107937155731
SNAI1	1	-0.257593733028	-0.0335133211675	-0.74807083872	-0.178645689636	-0.501696973456	0.17395815784
RFX6	1	-0.456832492096	-1.55178646458	0.244089808392	0.402985627435	-1.11210759102	-0.267343840702
RFX1	1	-0.683459601073	5.52065649277	-1.94216310312	-0.553644697934	-6.7497859966	0.307639299508
FOXP3	8	-0.721674953191	14.326015473	-2.18869413484	-0.584188852343	-11.0963088791	-4.06519837268
EZH1	8	-0.943019971296	0.466457212142	-0.270200121335	0.241875325527	-2.20394937629	-2.94928289652
MSL1	2	-0.217746615181	3.71120413297	-1.83067117254	-0.557449722716	-2.51848903138	0.106672717762
MSL2	4	-0.920396888734	7.24878734721	-4.43434196527	-2.28788094891	-6.14708428194	1.01853540524
TWST1	3	-0.0789723229357	1.48401935121	-0.686104496359	-0.545128166757	-0.831779167248	0.184130864474
MED1	37	-0.321796149902	12.0387408664	-2.30949458599	-0.749918986164	-10.5164487507	-0.0718592930849
PRGC1	1	0.252266288416	2.04040204194	0.536363223937	0.126194935235	-1.52719979907	0.0855710400304
ZFP384	3	-0.349703352405	7.20032817439	-0.398373318319	0.695385171737	-7.58645371501	-1.65940307482
RUNX2	7	-0.402259752916	8.30450818953	-1.95016551127	-1.24536840293	-8.51061419269	1.39034115278
DNM3B	9	-0.47081443639	1.74375132473	-0.889523027497	-0.435697719868	-2.3893117801	-0.383290979205
MKL1	1	0.245425185343	-0.190259736697	-0.00991557508242	-0.112767752005	1.02071429423	0.519354696273
MKL2	2	0.0837721742077	-0.119056974629	-0.102101491915	-0.122981464164	0.159296146053	0.603704655694
RUNX1	21	-0.555469036566	12.9923524327	-1.78497055584	-0.426386886088	-11.5546742753	-2.00366589829
CBX1	2	-0.264507975017	-0.160522068628	0.171569139117	0.161040822842	-0.400979279485	-1.09364848893
SP16H	1	0.169277935018	1.13741777239	-0.189438448371	-0.642389936556	-0.133519722677	0.674320010308
TCF7	5	-0.455570592755	12.702288105	-2.75370343343	-0.773878587556	-10.8347261791	-0.61783286876
NDF1	1	-0.348046335769	5.79594194293	-1.14114763831	-0.219496229101	-7.41686369695	1.24133394259
NDF2	2	0.0813201726734	3.81985084848	-0.304571731659	0.541876313819	-3.94496593557	0.294411368295
GCR	33	-0.751478484849	7.22107943077	0.845792258959	1.11086092804	-9.13079679155	-3.80432825046
NR6A1	2	-0.0737891404024	4.66530246101	-0.173679210783	0.143110545451	-5.15096172	0.147282222307
IRF3	2	-0.415433900962	11.076138804	-1.53118542769	-0.815519249647	-9.19516532443	-1.61143830707
IRF2	4	0.114254094914	2.3799579348	2.13346904207	0.534634447796	-1.87042428778	-2.60636666231
IRF1	7	-0.832599512677	12.0758135476	2.29698709031	1.89321046479	-12.9136183459	-7.51539032023
IRF4	52	-0.904899265338	14.0580643503	-0.919779527072	0.111766783493	-13.9398107173	-3.83473721608
TIF1B	9	-0.616313498713	4.72711456684	-0.933468795155	-0.381752131011	-6.74677275977	0.253311625534
IRF8	10	-0.839869936017	6.1642799226	3.92587442301	2.35482544475	-8.83017675509	-7.81415271535
PO5F1	52	-0.700108790091	7.35567077944	-1.97685602449	-0.771175977461	-8.67446940624	0.566286678312
MEF2A	2	-0.652715169844	0.750876306922	-1.09212460772	-0.325241058446	-1.4684304176	-1.12865607238
CREM	1	-0.207078538438	7.36918306902	-2.17992008321	-0.775848657454	-6.35148531982	0.902678299275
MEF2D	11	-0.721409184344	5.34211022883	-1.95897138333	-0.0608671234008	-5.53737061111	-1.39194703271
TF65	38	-0.742904932665	12.1470867203	-0.280745884997	0.761955059429	-13.0370850178	-3.30573554022
HDAC1	5	-0.42618308133	3.27617651	-0.0773726885674	0.254373639466	-4.76239433681	-0.821698530736
HDAC3	10	-0.501037084568	7.3415971126	-0.0889592243026	0.724236064654	-8.24745392735	-2.23460544844
HDAC2	2	-1.02503313672	0.831160653787	-0.490097255031	-0.538968402262	-3.286427081	-1.64083359908
CLOCK	9	0.306388441617	3.23004636858	-0.925569116425	-0.604880360948	-1.86959395081	1.70193926769
RCOR3	1	-0.636125893617	-0.307595513888	-1.05377839686	-1.22145192658	-0.544853420289	-0.0529502104634
RCOR2	1	-0.722457992761	0.226786905195	-0.670992776236	-0.174717008629	-1.91934413541	-1.07402294873
RCOR1	4	-0.444443506299	7.61048534553	0.0976365477879	1.24543706284	-8.07309730161	-3.10267918605
CBX8	3	-0.339643817361	5.85052677914	-1.64820494306	-0.87257435252	-5.53834083349	0.510374263115
CBX7	4	-0.10055568921	-1.90534154315	0.926939416613	0.776668117455	0.836678254296	-1.13772269126
CBX5	3	-0.314452590539	0.113241555226	0.984586802265	0.432680515698	-1.64269228482	-1.46007954106
CBX3	4	-0.26930698183	7.15150906563	-1.65641562354	-0.376545534997	-7.51006270523	1.04497988899
SMBT1	2	-0.376575440518	7.37214252104	-3.54920045814	-1.65676109478	-6.04780921291	1.99875104219
COE1	9	-0.222271110371	9.3907397207	-0.836897898173	0.17382138754	-8.86277965064	-0.976239111287
SMCA5	2	-0.141839348172	6.23139184102	-0.331451997023	0.657447199023	-6.70312678687	-0.563456997009
SMCA4	22	-0.983314817645	10.4415015593	-1.59063709355	-0.112631951104	-10.4143292179	-3.24047738496
PO3F1	1	-0.58173400314	3.72692056537	-2.97114412566	-1.38859582396	-2.79302673202	0.517176100567
PO3F2	3	0.12067694153	1.3297929247	0.890658558694	0.817545818821	-1.566691259	-0.867921335558
MYT1L	1	-0.123705730895	1.14995266043	-0.381025296333	-0.165312681169	-0.576329639377	-0.64581369803
TBX19	1	0.462454962376	5.25868849969	0.603041277583	1.0657186762	-4.72790741018	0.112733768582
PRGR	5	-0.705205445778	7.70086476151	-2.12654291897	-0.583307416766	-8.38113812651	-0.135903528154
TET1	14	-0.930519573272	3.81846248633	-1.19287806278	-0.0207348998134	-6.16528011924	-1.09216727084
ASCL1	7	-0.480695184259	2.10416255223	-0.911523131342	-0.252721101905	-2.64068253244	-0.702711707842
MTOR	1	-0.344851284507	3.17316661046	-1.85165052181	-0.835813883293	-3.43294368029	1.22298505239
HIF1A	6	-0.0810624345755	12.3804635719	-2.21507169663	-0.377449051511	-9.53159264762	-0.661662349014
EP300	83	-0.787458411967	13.9682927857	-1.71913144922	-0.180122635549	-13.7488863121	-2.25744444866
TAF7L	3	-0.411514434883	8.08518102594	-2.94861819302	-1.29099489671	-8.02288128869	2.11974117806
RAD51	3	-0.258253440508	0.602670864541	-1.20709662685	-0.875306861748	-0.983589272017	1.17205469353
CDK8	1	-0.513211406076	5.54981475185	-1.35421192116	-0.386880724393	-7.20359119394	0.828812057253
CDK9	4	-0.236587689475	7.32940247403	-1.60567302715	-0.434779814101	-7.37926324195	0.907375161805
NRF1	2	0.210242738445	5.626791398	-0.513220509958	0.264502519464	-4.81570657368	0.488846858396
PHF19	4	-1.18980615989	-2.3121391037	-0.667488952327	-0.193397417218	0.991998309308	-3.76800363552
NFYC	1	-0.393586007569	2.80917061593	0.262371453965	0.027520663886	-4.38422866393	-0.682764107693
NFYB	1	0.0488843777764	3.32259894428	0.941003044726	0.52808048067	-4.05372711478	-0.493533466016
NFYA	7	-0.0687123949908	4.99742740031	0.760972573447	-0.0627614174852	-5.96931414318	-0.0698863880543
EZH2	44	-1.83931621766	-3.28306065031	-1.19961380109	-0.327196653119	-0.598491498869	-3.7882184849
PITX2	1	-0.481953057537	5.50236412821	-1.94233219244	-0.857729639708	-4.69547289651	-0.416594687241
NR1D1	4	-0.547556738725	6.74529763622	-1.93297876712	-0.951811440016	-6.31300223101	-0.285288891698
NR1D2	2	-0.49170688226	8.51505330931	-0.452270881969	0.410115200274	-8.93654487943	-1.99488715949
PITX1	2	-0.891889372736	2.7334923851	-1.85720523806	-0.544079283149	-3.96618324382	-0.825471483747
SOX6	2	0.103258412335	-0.14094707009	-0.519458850977	-0.384875212245	0.10197803856	1.45959515643
SOX4	1	-0.490166404583	9.71305895488	-2.91252991148	-0.977794901992	-7.80287718048	-0.47068898385
CEBPB	56	-0.564364243475	9.54913355793	0.0236268095652	0.875766354905	-11.054809177	-2.21553876274
CEBPA	36	-0.39367276013	9.8037955066	-0.160189163978	0.968523055545	-11.0129640064	-1.5675291924
CEBPD	9	0.0359611342297	4.92072914127	1.1161326223	1.56949028604	-4.93398885347	-2.49255752499
KDM4C	5	-0.604499462332	5.05626152152	-2.40913208213	-1.09044415483	-6.82675031847	2.24756772226
KDM4B	1	-0.360762932971	5.84843679256	-0.894446437903	0.154794719709	-6.2611485149	-0.651451224317
MED12	4	-0.569266393111	4.82544584926	-1.75426088357	-0.235477907586	-4.18248326206	-1.49955576161
ETS1	7	-0.533703785703	15.519483595	-2.01740981464	-0.0887011491261	-13.1427668717	-2.93912468799
SUZ12	60	-2.00345175289	-1.84810166481	-1.45757019629	-0.368962511519	-2.41301113774	-3.92961325408
PPARG	24	-0.159302309509	8.16060049252	-1.70384843135	-0.789916779276	-7.97795489962	1.51460807019
SCML2	2	0.0234533467247	-0.828113358939	1.07098613294	1.09174290924	-0.187998944093	-1.02935000553
COT2	1	0.166393611358	1.28412356303	-0.55948530737	-0.561389711306	-0.470153455733	1.13887296817
PBX1	2	-0.148434913664	3.64019918168	-0.356428332056	-0.128961115654	-3.94445619375	0.0474718914645
SOX11	3	0.0582414064592	0.828033869872	0.691510834136	-0.0646218867363	-0.377027637959	-0.786688147017
FOXL2	1	-0.214657763288	2.26805864461	-0.177163247798	0.671670315516	-2.92384432346	-0.912010205306
TGIF1	4	-0.105866882827	10.3217982762	-0.552858394274	0.776840354903	-9.90829312144	-1.16682152949
HSF1	5	-1.20603045097	3.77823110669	-1.39958697527	0.741125469201	-4.77499060881	-4.37493124665
ZFX	1	0.134506782636	7.58521395331	-1.96359325985	-0.898567360074	-5.73475070929	1.68423128908
TBX21	4	-1.22410010985	11.7170954419	-2.33221435068	-0.0673207992754	-10.5683665907	-4.86969425049
TBX20	1	0.00154804236861	2.11699171371	-1.57077752564	-0.704782908908	-0.198693817177	0.365002749853
OGT1	2	-0.421709449254	8.96994782154	-1.45659589806	-0.259131307005	-7.91664222894	-1.44612563381
PKNX2	1	0.732650455783	3.17020102424	0.27059225795	0.636636829353	-1.87193060972	1.4577527771
PKNX1	1	0.343855940608	5.6123183009	0.624467529072	1.06914614809	-5.02428806872	-0.562364206302
RORG	9	-0.0414510354806	11.4071105254	-0.961292449518	0.021056152061	-9.26301862772	-1.41111077763
RORA	1	-0.26252797085	4.7465172942	0.235112443523	0.518919093743	-5.67112090748	-1.14206777824
BRDT	2	-0.206247028302	1.2849415758	0.240243547234	0.0238257838124	-2.60341807117	0.0231720228088
BRCA1	5	-0.540525454816	9.27893907505	-0.375589639211	1.0262926477	-10.3449708236	-2.287298534
ETS2	5	0.00547283611748	7.49455642489	2.27298854022	1.66207665031	-7.80743228477	-3.59482515006
CREB1	13	0.205869151996	9.32790147995	-1.58804072743	-1.25543365016	-7.75253403465	2.29745269226
NFAC1	2	-0.0599809482265	1.65318333634	-0.760889813848	-0.276439812057	-0.867183620953	-0.0485748306131
PER2	1	-0.233840511541	3.05153099215	-1.4346172322	-0.556545544854	-3.19810948217	0.968538709374
PER1	1	-0.346096628523	2.23730754517	-2.14630347353	-1.1637685413	-1.90325213308	1.24553346012
NFAC2	1	-0.334443112976	3.76960908218	0.628482660599	1.19767595302	-4.84643407894	-2.42154918173
BRD4	6	-0.329434166475	12.2953797479	-2.06000912421	-0.496745401554	-10.3444342037	-1.04136185084
ZC11A	3	-0.92155035322	-0.0206339416324	0.81947958025	1.64575258615	-4.12989532278	-2.92245466808
THA	1	-0.211063204217	1.06724894971	0.27929626335	0.22288674907	-2.4914741451	-0.133273838106
KAT8	10	0.310848277344	7.60987240089	-2.66091282901	-1.15404056028	-7.03598872358	4.7953110987
KAT5	3	0.646781226774	6.25851815289	1.20643603665	0.732671300708	-4.78035856649	-0.183360789885
RBBP5	5	-1.07731525142	8.28231866142	-4.60959256908	-1.84649083792	-8.21598862703	1.00317711551
FOXA1	10	-1.28015874175	5.90888599053	-2.92206307441	-1.04743403916	-6.94896973823	-1.39121284746
RUNX3	6	-1.0310031772	13.9365537706	-2.7209489906	-1.18870800516	-12.6158690551	-2.56604360572
DNM3A	6	-1.24521828159	-0.02325224864	-1.3366703761	-1.41490539303	-0.30838499759	-3.1428783926
FOXA2	12	-0.791317152008	5.34017594599	-1.63949797498	-0.690851296357	-7.92162106216	0.95520862747
PRD14	1	-0.0423901074127	3.39239225958	1.04139291478	0.782556926386	-3.93590710796	-1.49238552985
PRD16	4	0.035065569381	1.1448043459	0.0633251100123	0.363640085993	-2.30126033209	0.904818637087
NKX25	2	-0.11625886397	3.27264713075	-1.2321386959	-0.54919864708	-3.54947088263	1.47686677501
SPT6H	2	-0.430376829086	6.5579526972	-1.73054344374	-1.13059807608	-6.28033272717	0.431637404372
NKX21	4	-0.317764056238	6.3429993223	-1.36561411823	-0.546384854016	-6.51963906714	0.499818435906
DNM3L	2	-0.599244797461	0.00196632120182	1.30152755848	1.35714931687	-2.10609527499	-3.55077190886
CRX	5	-0.0922411438784	4.33566762925	-2.69348457997	-1.53555578306	-3.35110128372	2.7832682981
KAT2A	4	0.475630900987	9.57070424893	-1.38224366525	-0.107295773858	-7.59004056664	1.88703026175
SRSF1	2	-0.108685216861	0.0291221016153	-0.0385096382084	-0.247454648248	-0.414776986718	0.128193087254
