GeneName	baseMean	log2FoldChange	lfcSE	pvalue	padj	gene_cat
354	Dnaja1	13054.9911826294	-0.507472495792638	0.0934698956178159	2.88251939353763e-09	5.76399889406916	LL
1889	Dtx1	9664.12769965385	-0.744221350364608	0.0921464484572674	3.3471978871876e-17	12.6990897432544	LL
4294	Banp	1071.20047984007	-1.17749880882651	0.298248617000923	2.02830079662309e-06	3.20572767501509	LL
4811	Stip1	3855.70529842994	-0.692576806341876	0.153792133971539	2.72318504119895e-07	3.97902567736499	LL
5100	Arrdc3	1186.43601043875	-0.829958864458478	0.221006354009811	6.883653435058e-06	2.7781362240859	LL
7463	Il7r	36531.973195192	-0.523943899073605	0.0820891153162698	8.85302914887802e-12	8.08959259446362	LL
10731	Sgms1	2493.84992180953	-0.620285530124673	0.167676234563822	8.90745534478906e-06	2.69726335210178	LL
13804	Ppp2r3a	128.86390337028	-2.44857020302038	0.670755680274659	8.88694452317581e-06	2.69726335210178	LL
14385	Lman2l	1025.52705006244	-0.767810022582026	0.247364303084268	6.84303710666406e-05	1.93259028133804	LL
